Traceback (most recent call last):
  File "/home/daimi/miniconda3/envs/chatglm3-demo/lib/python3.10/threading.py", line 1016, in _bootstrap_inner
    self.run()
  File "/home/daimi/miniconda3/envs/chatglm3-demo/lib/python3.10/threading.py", line 953, in run
    self._target(*self._args, **self._kwargs)
  File "/home/daimi/Desktop/demo/chatglm/demo_chat.py", line 36, in text_to_audio
    audio.send_data(conn, comunication.AUDIO, res)
  File "/home/daimi/Desktop/demo/comunication/comunication.py", line 34, in send_data
    conn.sendall(struct.pack('!I', data_type))
OSError: [Errno 9] Bad file descriptor

2024-08-04 19:21:15,115 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/0.wav has been deleted. |  remove_file
2024-08-04 19:21:16,830 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/1.wav has been deleted. |  remove_file
2024-08-04 19:21:18,806 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/2.wav has been deleted. |  remove_file
2024-08-04 19:22:31,876 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 53318).wav has been deleted. |  remove_file
2024-08-04 19:22:44,599 | Guka_Server | main.py[line:111] |  INFO: {'flag': '推理', 'mode': '💬 Chat', 'retry': 0, 'top_p': 0.8, 'temperature': 0.95, 'prompt_text': '你好', 'repetition_penalty': 1.1, 'max_new_token': 256, 'uid': '56125a13-ac5b-447e-9468-ed47b54556bf'} |  start_main
2024-08-04 19:22:44,599 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 53325).wav has been deleted. |  remove_file
2024-08-04 19:22:47,465 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/0.wav has been deleted. |  remove_file
2024-08-04 19:22:49,523 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/1.wav has been deleted. |  remove_file
2024-08-04 19:22:51,563 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/2.wav has been deleted. |  remove_file
2024-08-04 19:27:13,479 | Guka_Server.speak.speak | speak.py[line:9] |  INFO: 语音识别模型初始化完成 |  __init__
2024-08-04 19:27:52,671 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 53383).wav has been deleted. |  remove_file
2024-08-04 19:28:33,241 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 53388).wav has been deleted. |  remove_file
2024-08-04 19:28:33,244 | Guka_Server | main.py[line:111] |  INFO: {'flag': '推理', 'mode': '💬 Chat', 'retry': 0, 'top_p': 0.8, 'temperature': 0.95, 'prompt_text': '你好', 'repetition_penalty': 1.1, 'max_new_token': 256, 'uid': '56125a13-ac5b-447e-9468-ed47b54556bf'} |  start_main
2024-08-04 19:28:39,577 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/0.wav has been deleted. |  remove_file
2024-08-04 19:28:41,880 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/1.wav has been deleted. |  remove_file
2024-08-04 19:28:44,594 | Guka_Server.User.User | User.py[line:16] |  INFO: ./raw/2.wav has been deleted. |  remove_file
2024-08-04 19:31:54,037 | Guka_Server | main.py[line:29] |  INFO: recoding('192.168.137.1', 53455).wav has been deleted. |  remove_file
